model,stratum,count,R@1_percent,mean_error_m,std_error_m,median_error_m,p75_error_m,p90_error_m,p95_error_m,p99_error_m,max_error_m,GFR@25_percent,GFR@50_percent,GFR@100_percent,GFR@200_percent,GFR@500_percent,GFR@1000_percent,conditional_mean_err_gt50m,conditional_median_err_gt50m,conditional_mean_err_label_miss
Baseline,80m,777,17.63,1437.9,1599.02,941.61,2609.33,4026.47,4695.27,5170.5,5266.19,75.29,70.66,66.8,61.26,57.4,49.29,2030.68,1483.99,1745.71
Baseline,90m,777,18.79,1490.94,1707.03,740.26,2963.94,4114.23,4882.27,5267.31,5431.61,72.59,68.21,63.71,57.66,53.93,46.59,2180.85,1615.16,1835.91
Baseline,100m,777,21.36,1242.64,1525.68,588.29,2088.63,3770.79,4562.59,5187.63,5343.69,68.34,64.22,58.56,53.41,51.09,43.37,1929.45,1481.2,1580.25
Baseline,Overall,2331,19.26,1390.5,1615.83,751.1,2589.17,3989.39,4757.74,5214.73,5431.61,72.07,67.7,63.02,57.44,54.14,46.42,2049.11,1529.64,1722.23
FSRA,80m,777,62.29,450.7,1111.25,0.0,62.16,1702.24,3641.93,4981.44,5266.19,30.24,26.38,22.78,19.56,17.89,14.8,1697.11,1228.11,1195.21
FSRA,90m,777,62.55,429.41,1138.46,0.0,40.21,1562.37,3741.29,5129.91,5375.02,28.19,23.17,19.31,16.34,15.06,13.51,1837.49,1352.99,1146.56
FSRA,100m,777,68.6,308.37,987.97,0.0,20.44,763.01,2698.81,5220.11,5375.08,23.68,17.89,15.06,11.58,10.55,9.65,1703.01,1212.43,981.97
FSRA,Overall,2331,64.48,396.16,1083.03,0.0,40.02,1446.26,3557.24,5102.0,5375.08,27.37,22.48,19.05,15.83,14.5,12.66,1746.9,1284.1,1115.27
ResNet50,80m,777,35.78,740.91,1176.04,27.9,1370.83,2407.27,3556.12,4186.33,5290.1,50.84,44.14,40.41,36.81,34.11,29.21,1666.92,1501.26,1153.68
ResNet50,90m,777,44.27,637.02,1246.55,19.91,282.11,2558.58,3939.57,5181.97,5375.86,41.31,33.72,30.63,27.54,24.58,22.52,1872.39,1521.57,1143.1
ResNet50,100m,777,44.02,594.11,1196.54,19.92,542.58,2205.35,3748.76,5202.19,5270.33,40.15,33.2,29.47,27.54,25.35,21.62,1771.97,1387.68,1061.2
ResNet50,Overall,2331,41.36,657.35,1208.31,20.07,935.93,2351.4,3756.63,5128.72,5375.86,44.1,37.02,33.5,30.63,28.01,24.45,1760.71,1475.7,1120.9
LPN,80m,777,63.84,455.33,1096.85,0.0,45.63,1711.49,3571.5,4677.64,5318.75,29.34,24.97,21.36,19.31,18.79,15.7,1811.8,1354.45,1259.04
LPN,90m,777,68.08,371.9,1064.83,0.0,20.81,1355.64,3592.3,4997.69,5318.75,24.2,19.56,16.6,14.16,13.26,11.2,1884.91,1420.72,1165.2
LPN,100m,777,69.76,249.54,852.14,0.0,20.13,257.45,2010.51,4283.58,5414.59,22.52,16.99,13.38,10.42,9.52,8.11,1447.57,885.88,825.07
LPN,Overall,2331,67.22,358.92,1013.99,0.0,27.31,1318.72,3220.78,4886.05,5414.59,25.35,20.51,17.12,14.63,13.86,11.67,1734.47,1287.89,1095.09
