Method,K,Tau,Median_Error_m,Mean_Error_m,p90_Error_m,p95_Error_m,Delta_p95_vs_Top1_m,p95_Ratio,Pct_Degraded
Top-1,1,-,751.10,1390.50,3989.39,4757.74,0.00,1.00,0.00
Centroid,2,0.01,844.88,1383.43,3867.21,4585.83,-171.91,0.96,50.15
Centroid,2,0.05,922.11,1383.72,3781.61,4514.75,-242.99,0.95,49.68
Centroid,2,0.10,942.30,1385.16,3777.31,4519.30,-238.44,0.95,50.88
Centroid,2,1.00,991.66,1387.23,3770.31,4521.22,-236.52,0.95,50.54
Centroid,3,0.01,850.42,1379.89,3826.18,4534.70,-223.04,0.95,49.51
Centroid,3,0.05,997.15,1390.66,3724.92,4291.09,-466.65,0.90,52.34
Centroid,3,0.10,1029.40,1396.84,3705.94,4267.92,-489.83,0.90,53.11
Centroid,3,1.00,1088.87,1403.86,3692.77,4274.30,-483.44,0.90,53.15
Centroid,5,0.01,864.24,1378.60,3800.04,4468.75,-288.99,0.94,50.36
Centroid,5,0.05,1047.50,1405.02,3595.72,4186.77,-570.97,0.88,54.40
Centroid,5,0.10,1084.72,1418.09,3559.30,4163.29,-594.46,0.88,55.04
Centroid,5,1.00,1124.59,1431.51,3536.74,4146.72,-611.03,0.87,55.26
