Method,K,Tau,Median_Error_m,Mean_Error_m,p90_Error_m,p95_Error_m,Delta_p95_vs_Top1_m,p95_Ratio,Pct_Degraded
Top-1,1,-,0.00,396.16,1446.26,3557.24,0.00,1.00,0.00
Centroid,2,0.01,0.76,401.46,1488.05,3121.82,-435.42,0.88,57.79
Centroid,2,0.05,0.76,414.58,1633.97,2724.38,-832.86,0.77,58.04
Centroid,2,0.10,0.76,418.84,1698.77,2661.46,-895.78,0.75,56.63
Centroid,2,1.00,0.76,423.20,1742.57,2653.32,-903.92,0.75,50.06
Centroid,3,0.01,1.53,400.61,1467.82,2972.03,-585.21,0.84,65.72
Centroid,3,0.05,7.72,420.07,1482.86,2649.41,-907.83,0.74,64.35
Centroid,3,0.10,8.07,426.90,1512.37,2633.36,-923.88,0.74,64.18
Centroid,3,1.00,7.43,433.87,1500.46,2629.51,-927.73,0.74,64.82
Centroid,5,0.01,4.46,401.70,1460.66,2916.22,-641.01,0.82,69.28
Centroid,5,0.05,26.40,455.70,1485.76,2550.99,-1006.25,0.72,73.36
Centroid,5,0.10,30.06,483.94,1544.23,2464.32,-1092.92,0.69,74.05
Centroid,5,1.00,32.95,519.98,1644.89,2469.29,-1087.95,0.69,73.02
